area,year,pop,15_64,in_mig,out_mig,inc,emp,jun_high,sen_high,jun_col,sen_col,lf_tot,lf_m,lf_f,unemp,prim_emp,sec_emp,ter_emp
1396,2010,"2,189","1,288",91,98,"2,423,316",***,562,907,208,144,"1,266",723,543,24,534,59,648
1397,2010,"2,034","1,252",107,121,"2,109,580",***,411,810,190,163,"1,257",704,553,24,411,84,728
1398,2010,"2,490","1,452",124,162,"2,076,692",***,640,"1,135",237,179,"1,370",802,568,53,298,189,830
1399,2010,"3,811","2,267",132,118,"3,543,716",***,"1,166","1,524",295,296,"2,129","1,385",744,53,356,703,"1,016"
1400,2010,"15,568","10,045","1,062","1,075","18,346,994",***,"2,717","6,843","1,654","1,653","8,645","5,256","3,389",596,756,965,"6,322"
1401,2010,"6,428","3,814",257,309,"7,454,663",***,"1,480","2,884",487,441,"3,480","2,178","1,302",180,938,588,"1,762"
1402,2010,"14,451","8,396",556,656,"13,972,371",***,"4,674","5,519","1,008",815,"7,104","3,962","3,142",477,257,"2,031","4,274"
1403,2010,"1,883","1,016",67,90,"2,104,988",***,645,665,136,117,869,567,302,32,73,188,575
1404,2010,"1,122",538,31,60,"1,125,746",***,531,342,70,61,511,322,189,19,103,76,313
1405,2010,"2,516","1,285",47,99,"1,668,541",***,"1,059",886,135,116,"1,280",765,515,74,324,213,669
1406,2010,"3,611","2,002",68,123,"2,600,442",***,"1,481","1,342",221,154,"1,822",988,834,101,264,626,826
1407,2010,"3,800","2,141",154,145,"2,726,850",***,"1,059","1,561",302,235,"1,903","1,037",866,56,865,148,827
1408,2010,"21,258","12,215",700,830,"18,628,314",***,"4,955","9,364","1,749","1,531","10,106","5,606","4,500",980,"1,489","1,614","6,013"
1409,2010,"1,262",746,92,87,"1,095,955",***,379,439,112,121,721,459,262,19,232,95,372
1423,2010,"8,778","5,679",255,362,"9,082,735",***,"1,633","3,709",915,604,"4,651","2,560","2,091",266,824,785,"2,663"
1424,2010,"6,194","3,358",162,228,"5,542,708",***,"1,986","2,370",535,326,"2,903","1,644","1,259",172,447,781,"1,501"
1425,2010,"4,086","1,996",131,156,"2,366,574",***,"1,707","1,546",181,110,"1,545",929,616,351,48,333,811
1427,2010,"5,896","3,269",147,195,"4,862,766",***,"1,467","2,761",495,284,"3,099","1,760","1,339",143,"1,098",459,"1,381"
1428,2010,"11,691","6,877",354,404,"13,230,264",***,"2,607","4,643","1,193",794,"6,394","3,552","2,842",276,"1,855",808,"3,183"
1429,2010,"13,340","7,481",444,527,"12,164,486",***,"3,412","5,744","1,103",836,"6,697","3,692","3,005",345,"1,362","1,360","3,571"
1430,2010,"4,859","3,188",167,191,"3,436,876",***,"2,031","1,600",346,265,"1,935","1,150",785,78,589,267,991
1431,2010,"2,206","1,173",67,107,"2,102,846",***,584,"1,016",193,99,"1,181",671,510,43,576,147,413
